FEROCIA/,19
SHROUD/MAXIMILLIAN Q,81
CAPTAIN TERROR/DAN K,5
CAT II,6
"CHASE, DETECTIVE SLO",9
PIRANHA,17
ABSORBING MAN/CARL C,176
"O'HOOLIHAN, SERGIUS",6
CAT IV,3
"LEEDS, NED",127
TRITON DOPPELGANGER,54
ABCISSA,14
BUSHMASTER II/QUINCY,69
"REILLY, MAVIS",7
"OSBORN, NORMIE",131
"HUXLEY, DR. ALDA",62
"JZEMLICO, WARDEN",1
"ROSS, COURTNEY",22
RIGHT-WINGER/JEROME,30
"TRASK, LAWRENCE LARR",27
"FROST, BYRON",17
GANYMEDE,2
MR. FEAR III/PROF. L,22
SKULLBUSTER,31
TRAVELER,2
CUFFS/,14
"DE LA JOYA, SISTER M",0
THALLIUM,22
LANN,17
MYSTERIA/,38
"MANN, DR. J. VERNON",20
"HIGGINS, JANE",4
"BURRTHROP, T. BARTON",8
HAMIR,16
YAP,27
"AKUTAGAWA, OSAMU",4
JUSUR,10
"THULE, GEN.",10
"DUBOIS, DR. CLAUDIA",8
KROTOK,5
BLOODHOUND/,8
SPEEDBALL DOPPELGANG,110
SPAT,17
MAINSPRING,12
"GUNDERSON, COL. ROLA",11
ATALANTA,50
JAVITZ,6
PURSUER,5
"SMYTHE, ALISTAIR ALP",37
"FITZGERALD, MOLLY",7
SISTER CHLOE,26
"KEL, JANOTH",2
CLOUD,33
MR. PAYBACK/,8
"TILBY, TRISH/PATRICI",188
JACKAL II/WARREN,7
"OLSEN, JIMMY",13
"SOMMERS, APRIL",11
"BRADDOCK, ELIZABETH",2
KEEVER,3
SENTRY IV/VAL,19
STRONG GUY DOPPELGAN,31
"MOY, ALYSSA",61
JENSKOT/ALIYA,7
YRIK,9
AGONY/,15
"BLAKE, BECKY",43
SHULK,10
CHTYLOK,4
MARVEL BOY/MARTIN BU,4
EXITAR,1
"ST. GERMAINE, COMTE",7
"DOVER, DONNA-LEE",15
LEONUS/LIONUS [INHUM,44
CAPTAIN ULTRA/GRIFFI,29
KUBIK,24
"NEKOBAH, ROMAN",21
"ACHEBE, REVEREND DOC",36
MAGUS II,43
"ASHER, MICHAEL",4
SIGMAR,10
LOCKHEED | MUTANT X-,6
"MEACHUM, WARD",37
STEGRON,16
OMERTA/,0
"JEFFRIES, MAGGIE",5
"PHILLIPS, HANDSOME H",7
DAGDA,8
DR. DOOM | MUTANT X-,52
SABU,13
BLUE BULLET/PROF. JO,6
SOUL MAN/FATHER JASO,15
BRUTACUS,36
DIABLO/ESTEBAN DE AB,130
NICKEL,4
"PENDRAGON, ARTHUR",6
"SWANN, DR. EVAN",22
MASTER MOLD,23
YSSA,10
"MALUS, DR. KARL",38
"CAGLIOSTRO, ALESSAND",7
LLYRON,53
"LANDERS, DR.",4
RAZORFIST ROBOT,6
"CHALIZ, HAZRAM",13
"STORM, SUE | TIMESLI",12
MONOCLE,11
NEMESIS,30
"EDWARDS, MARTIN/DR.",27
"BUCKMAN, EDWARD",1
"GRANT, MARY MEEKS",17
"REAGAN, NANCY",12
TRIAX,11
FIREFIGHT/,20
"IONELLO, JASON",39
LA BANDERA,4
"DEVEREAUX, MICHELLE",11
AMPHIBIAN/KINGLEY RI,44
"ANDERSON, CHARLES",8
KYSA,2
"BENNING, VERONICA",18
"ROBINSON, LUCY",19
REVERB,6
RY'LOR,4
SEEKER III,8
SETH II,56
ZERO,83
NOVA DOPPELGANGER,68
"WILSON, JIM",57
"KILGREW, GERARD",5
BEYONDER,164
"MEACHUM, JOY",47
FANDRAL [ASGARDIAN],287
STALKING FOX,5
"BLOTT, BRIGADIER INK",28
MOLE MAN | MUTANT X-,11
GREMLIN/,53
APE-X/XINA,21
FLYNN,1
ENFORCER/DELAZNY,27
"LEEBRE, VEEDA",7
UNCEGILA,1
LONGARM/,1
"WARREN, MR.",9
CAPTAIN UNIVERSE/STE,4
FIZ [SKRULL],110
BEETLE II/LEILA DAVI,39
LACE/,3
CH'THON,24
"MCPHERSON, LING",24
"YUAN, BILLY",13
GABRIEL III,6
"BAIRD, DR.",12
EL JAGUAR,14
MCLEISH,1
BASILISK III/,7
BELLAM,25
"MELLACE, TONY",6
DRY,13
SHAKATI,30
BLACK GOLIATH/DR. WI,135
DARK HUNTER,5
"GRANT, SILAS",29
"BUKOWSKI, BUCK",5
FOXFIRE/OLIVIA UNDER,22
VAGABOND/PRISCILLA L,24
TROLL/,18
SILVERMANE/SILVIO MA,94
"ESTAVES, DR. ROSA",9
HULK IV,6
NEEDLE,21
"CASSADA, ROSA",36
ARCLIGHT/PHILLIPA SO,131
RAZA LONGKNIFE,131
KULAN GATH,26
"KREA, BRUNO",22
GUNTHAR II,35
QUICKSAND,127
KILLIAN,22
EXPEDITER II/ZOE CUL,52
"FURY, NICK L.M.D.",9
"HINKLEY, ADMIRAL",7
"GRIMM, BEN | TIMESLI",9
BLACK MARVEL/DAN LYO,7
MASTER ZEI,15
"STITHY, THEODORE",5
GAMMENON [CELESTIAL],87
BLOODY BESS,22
"COWAN, EARL",2
NUADA,20
REAPER II,55
PRADDA FOL,19
"ROMMEL, EDWIN ROMULU",20
"JARDINE, AMANDA",4
HARRIER,3
MOLECULE MAN/OWEN RE,118
"LEBEAU, JACQUE",20
DESIGNATE/TARENE,36
"BLAZE, ROXANNE SIMPS",41
GOG,26
"VONYA, DR. ANATOLY",10
OBLITERATOR [ELDER],6
PRESTER JOHN,29
"GREEN, JAMES",4
"AUTHIER, TRACY TRACE",28
HORUS [EGYPTIAN GOD],22
"BRADLEY, HANK",3
"ARBOGAST, BAMBI",116
ANUBIA,9
NELIT,4
RADIUS/JARED CORBO,56
"VANE, ROGER",5
"JOSHUA, DR. SEGISMUN",40
HARGEN,27
"POTTS, VIRGINIA PEPP",0
GRASP,19
"RALEIGH, RICHARD",13
BOVA,112
ISIS,11
"TRASK, RAYMOND",9
"DILLON, BERNIE",21
VERTIGO,26
DAN-FARR,41
XIANDU,12
T'KYLL ALABAR,7
"DESTINE, ADAM",14
WHIZZER/ROBERT L. FR,97
"WEISENTHAL, DR. JONA",0
VIRA,17
KOLOMAQ,1
"FOX, PHIL",3
"PARKER, BEN",21
"EPSTEIN, MRS.",8
"COPPERSMITH, ALFRED",3
BARRACUDA/,6
"PRAZNIKI, VICTOR",11
FOOLKILLER III/KURT,5
FLUFFY,5
"WORTHINGTON, ELIZABE",2
WATCHFIRE/,15
SANDMAN DOPPELGANGER,5
HEALER,27
"SHANE, BRIDGIT",3
MARCHALLA,3
"ALOUETTE, GENARD",28
DRAGONESS,40
NIGHT RIDER III/HAMI,30
"LOHAN, PETER",9
CADAVER,0
WOLVERINE SKRULL,78
PARADIGM,16
HARBINGER,15
"KONIEV, MRS.",0
VIPER/JORDON DIXON,12
ARABIAN KNIGHT/ABDUL,151
"PAGE, KAREN",188
CRIMSON DYNAMO VI/VA,21
CELESTE,0
SMASHER II,8
SUPER-NOVA,12
SMASHER IV,76
GRIFFIN,0
VOSTOK,62
MAGOG II,7
MODAM,61
"LANGFORD, DR. DAVID",3
AMERICAN EAGLE II/JA,15
"MORRISON, JESSICA",8
RED WOLF III/WILL TA,84
GOLDBUG,18
MISTER HYDE/CALVIN Z,118
"RAMIREZ, JAVIER",18
WEED,6
LEVIATHAN VI,1
AZURE,5
RAGA-SHAH,0
WHIPLASH II/,39
RED GUARDIAN IV,12
FEAR EATER/KKALLAKKU,15
DEVOURER,13
DR. SUN,17
MR. LUCK/RAMON GARCI,2
"MEER, MAX",6
"CLARIS, SVEN",3
UNUS THE UNTOUCHABLE,50
"CLOONEY, DR.",8
ECHO/MAYA LOPEZ,5
"KINCAID, MOSES",13
"SUN, LIN",23
M'KUMBA,14
MAESTRO,3
"GELLER, URI",3
MAN-BEAST,80
BORAKU,4
"ROSSI, COL. MICHAEL",35
RAMPAGE/STUART CLARK,33
KINLAN KARTH KITH,8
BLASTING CAP/,8
"SUMMERS, PHILIP",5
"BALE, EMERSON",36
CARETAKER,8
RAZOR/,1
"PORTER, KIM",4
THUNDERBALL/DR. ELIO,138
"ASHER, DONNA",4
WALRUSS,5
BLOK,5
BLURRY,27
"GAUNT, OFFICER KIM",13
DOC,8
"TOLLIVER, REV. JACKS",11
"LUBOWSKI, LUGWRENCH",7
FOOLKILLER II/GREG S,25
PLUTO [OLYMPIAN],103
"TAKAHAMA, JANE",9
DEFENSOR,48
TRIATHLON/DELROY GAR,125
"BERNSTEIN, DR. NOAH",24
FIN/PETER NOBLE,8
CAT BURGLAR,7
CAPTAIN BRITAIN/BRIA,327
REDWING,175
SHOOTING STAR,57
QUENTINO,11
"HORTON, DOUGIE",4
NECROMANCER/DR. STEP,5
MADAME HYDRA VI,18
"EPURER, GISCARD",5
TOOTHGNASHER,7
"LIPTON, TRENTON III",7
FANG II,37
ASHUR,4
KRAGAR,5
"MURRAY, WILLIAM T. B",1
"ELLENTHORPE, MARIAH",10
"HU, DR.",7
GOBLYN,63
"HOGARTH, JERYN",86
DONYELL,11
"GROSS, CLIFFORD",1
"MILLER, JENETTE",0
CRUSHER/EL PROFESSOR,4
PULSE/,5
"DRAGONBLOOD, ULYSSES",27
"PILLMAN, JIM",2
MOUSE,10
ACBA,18
VENDETTA | MUTANT X-,1
ARMADA II/,11
FAGIN,6
TEQUILA/,5
STEEPLEJACK II/MAXWE,16
"JACOBS, BEN",4
DARGIL,13
EXECUTIONER III/BRUT,14
BLACKHEART,12
EGGHEAD/PROF. ELIHAS,51
CATHODE/,11
CYBORG X/,4
ALBINO/DR. AUGUSTA S,1
"GLEASON, KAREN",7
FROG-MAN II/EUGENE P,20
NITRO/ROBERT L. HUNT,55
"SHORR, JACQUELINE",31
QUASAR,1
POWERHOUSE II/,2
MICROMAX/SCOTT WRIGH,53
ROSE IV/JACOB JAKE C,77
MOONGLOW/,19
KAA,5
"KRAY, D'VON",4
MADAME MASQUE IV,6
KHOON,5
WEAK LINK/ERNIE MILL,13
HYPERION II,62
DR. STRANGER YET,4
A,6
ZZZAX,17
MAINFRAME II,25
"WEALS, MELVIN J.",5
ABEL,11
"LUBENSKI, NATE",112
EARTHQUAKE,68
SCUZZ,4
"BEACH, SPIDER",27
DEIMOS,5
BOUNTY,13
SCREAM,32
REJECT/RAN-SAK [DEVI,76
MR. JUSTICE/TIMOTHY,46
"DIAMOND, KATHY",1
"FORD, GERALD",3
"TYNE, ELIZABETH/JANI",8
"SKIN, NYLA",6
AUTHORITY/,17
"JONES, JANIS",45
"HIBBERT, ELLEN",7
SCORPION/MACDONALD G,73
KILLER CLOWN,1
SOUL-EATER,17
NIGHT FLYER,6
BLACK KNIGHT V STATU,45
"SUMMERS, NATHAN CHRI",422
"CHAN, SARAH",8
"COWEN, BUCK",18
HARDRIVE,62
"PETERS, SHANA TOC",2
HAAG,14
"DIRKSON, GUS",6
REM-RAM/,5
"BLAZE, CRAIG",13
X-MAN | MUTANT X-VER,1
"O'BREEN, GLORIANNA",28
KATANA/,11
"GREY, ELAINE",85
LYJA LAZERFIST [SKRU,197
RAZORWIRE,3
"BOERKE, MAYOR",16
"SHAW, MILDRED",0
FAROUK,0
"MANTLO, BILL",1
"STRUCKER, ANDREAS",130
"BROWN, FRANK",12
SERGEI,109
BRAINCHILD,57
VALKIN,37
A'YIN,11
"DEVILLE, JENNIFER CR",0
STEEL WIND,48
VOYAGER,21
TOPSPIN/DARREN MITCH,20
DRUIG,20
"NICHOLS, TOM",6
FU MANCHU,23
EVERWRAITH/,8
BEAST 2013,6
CENTURIUS,1
"ROGERS, W.T.",5
"MODINE, REP. BERNARD",1
WRAITH,19
"CALLAGHAN, JAMES",8
"MARCEAUX, BELIZE",6
"FALSWORTH, KENNETH",2
"AVRIL, YVETTE",0
LOGOS,6
ORBIT,15
DRACULA | MUTANT X-V,46
BENCHLEY,7
"MARIN, DR.",9
REVENANT/,17
SAMSON,9
NIGHTHAWK III/NEAL,13
DANTE,7
"TANNEN, VINCENT",9
NAVARRO,2
"MACKAY, AILSA",1
"LEOPOLD, ARCHER",3
"DIBBS, LIONEL",6
DAREDEVIL | MUTANT X,9
"O'DONNELL, EAMON",7
MARAUD,12
DEAD HEAD/,10
CHAOS/DANIEL DASH,5
"SOFEN, MARION",30
HIRO,12
"STEWART, MADDIE",5
EL AGUILA,17
SPACE PHANTOM,41
"RANN, COMMANDER ARCT",18
TUNDRA,2
"EVE 3,031",14
DELUGE II,12
"RAHN, TAMARA",43
"ROMITA, JOHN",3
DIAMONDHEAD/DYKER,58
ROCKET RACER/ROBERT,61
TITANIUM MAN III/BOR,2
GLORIOLE,1
"DOCKERY, RUPERT",6
SYPHONN,7
"DENNAGER, MICHAEL",3
PUDDLEGULP,48
ANGAR THE SCREAMER/D,86
HYPNO-HUSTLER/,0
"CARLTON, LUCY",8
MARAUDER,13
JUSTICE II/VANCE AST,339
"NORTH, DAKOTA",38
COCKROACH/,18
"RYKER, GENERAL",10
WENDIGO II/GEORGES B,12
"TSUNG, MARCUS",12
ANVIL/JOHNNY ANVIL,7
"STILWELL, RON",0
GLITCH/CHARLES J. AM,6
MORPHEUS/ROBERT MARK,12
"PACE, MICHAEL",7
TECHNOCRAT/RANDY,8
MASTER KHAN/TYRONE K,37
"CUMMINGS, DIANE",7
NANNY II,34
"BAPTISTE, TANTE MATT",5
AKULIA,2
NORTHSTAR | MUTANT X,9
BARTOS,16
HOUND,37
HELL-EYES,3
MENTALLO,82
"LANG, CASSANDRA CASS",81
"PENNYWORTH, J.C.",30
"HELLSTROM, VICTORIA",2
"RAINTREE, VIVIAN",3
HALLOWEEN JACK,4
EL TORO NEGRO/SERGIO,15
NOVA/RICHARD RIDER,483
"CALLAHAN, MIKE",3
"WILBURN, MYRON",18
NUTT,2
WING,5
TANTE MATTIE,36
LEGAULT,19
NECROM,20
SHOC/NEIL AIKEN,20
NOCTURNE/,15
"BUMPO, MR.",6
NIGHTINGALE/,18
GLITTER/,9
DOVINIA,2
SEESHA,20
"WANG, LI",7
GARNOK REBBAHN,1
GOG III,19
"GYRICH, HENRY PETER",11
"FIELDS, MARJORIE",1
"HUGO, CAPTAIN EDVARD",8
HELLEN,25
"BAZIN, BRODERICK RIC",20
MAXOV,22
AINET,8
ECLIPTIC,13
ETERNITY/ADAM QADMON,200
SCYLLA,3
"JONES, TAMMY ANNE",28
BLIZZARD II/DONALD G,42
ANTRO,22
"LEWIS, DET. GARON",13
SUNTURION/ARTHUR DEA,17
"DARE, ROSSALYN",12
BATTLEAXE/,42
BLACK BRIGADE,19
SORRENTINO/SORRENTIN,16
ANT-MAN II/SCOTT HAR,299
"PARSONS, DR. DEREK",15
SABRETOOTH | MUTANT,9
"RASPUTIN, LUCIFER",5
FLO,12
CAPTAIN MANHATTAN,8
ANNALEE,37
KORREK,7
POWER MAN II | MUTAN,31
WEASEL/JACK HAMMER,15
BLACK KNIGHT III/EOB,18
VIRAKO,24
"MCKNIGHT, BOB",4
"GEESEY, KARL",4
"GYRICH, HENRY PETER",261
"THOMPSON, EUGENE FLA",251
"CLARK, JOHN",21
LEO II/,18
MIST,2
"CURZON, DETECTIVE IN",1
GAMBIT | MUTANT X-VE,47
MAGMA/AMARA AQUILLA/,154
"WALKER, MICKEY",20
KEERG,5
SOPHIE,41
"TREVANE, DET. CONNOR",42
LOCKHART,0
"SAUNDERS, DABNEY",2
CAPTAIN AMERICA DOPP,77
MASTERMIND II/BOWERS,2
NICODEMUS,1
"NORTH, RICKY",3
HATCHET-9,3
MOJO,73
PLANTMAN/SAM SMITHER,102
"RYKER, HARLAN",20
SUGAR MAN,58
"CHEKOV, ARTHUR ANTON",54
CROSS/,9
"SLUGANSKI, ERNIE",2
ASBESTOS LADY,0
IMPOSSIBLE MAN,79
SKIN II/DONNA BLISS,14
"HALE, TOM",15
"STRONG, MARTIN HENRY",8
TAKAR,4
IMPULSE II/DWIGHT HU,35
RASCAL/,0
"YOUNG, AGNES",1
"FERGUSON, ISABEL",8
ANGEL DOPPELGANGER,5
"JONES, BART",37
INFINITY II,72
"PEARSON, AUBREY",7
"MOORE, TONI",2
BLAQUESMITH,103
SILVER SURFER/NORRIN,466
"WATSON, KRISTY",69
ONSLAUGHT II,94
BALDER [ASGARDIAN],224
"STERIXIAN, ALMONNAS",4
URTHONA,4
INGOT/,14
"CAMBRIDGE, MOXIE",2
TOBIAS,21
HAG/,16
LEVIATHAN IV,7
STARBOLT,78
"RAVEN, SABBATH II/EL",9
FAZE,4
SCORPIO/JAKE FURY,37
PAVANE,1
"RIDGEWAY, DAWN",10
"NASH, JOHN JOHNNY TH",4
"MADDICKS, NADINE",1
LOBLOLLY/,17
MAN-SPIDER CLONE | M,1
THERNON,2
"RAND, HEATHER DUNCAN",7
STRANGE,4
"MCBRIDE, BEATRICE",5
"CHAMPION, IMUS",10
FARAHD,8
FLATMAN,52
WAXWORK,49
"JENNINGS, JOSEPH",18
"JAYE-FIRESTONE, GING",26
"DANNING, SHEILA",15
BEAUTIFUL DREAMER II,12
MEGA MAX/,0
"YASHIDA, MARIKO",55
DEXAM,17
"WALKER, SHERIFF CHAN",8
FORGE | MUTANT X-VER,21
XYOSS,7
"SHAW, SHINOBI",70
"LESTRADE, DR.",4
HUSK/PAIGE GUTHRIE,156
BATTLEAXE II/JEROME,18
LOOP,13
LINAK,0
"IVANOVA, ELENA",12
RINGLET,12
ARIANE,3
"PATRICK, KERRY",24
"GROSS, IRA",4
"PARKER, PETER | TIME",23
"HARRISON, COL. EDWAR",9
NZAGA,4
RAWHIDE KID,9
THINGEE,8
"DANIELS, BRIE",6
"BORROUGHS, CHARLES C",14
DEATHLOK/COLONEL LUT,28
TYPEFACE/GORDON THOM,4
ANGKOR,6
"STERIXIAN, LOATIA",2
M'DAKA,32
SHIGARU,7
EMBER,18
"MILLER, TRACE",8
GLADIATOR/MELVIN POT,54
HAMMER II/,7
"WOODS, MIRANDA",10
KREE SCARLET WITCH [,11
SISTER MARIA,5
TURK II,7
"GUTHRIE, LUCINDA",13
WINDEAGLE/HECTOR SAN,2
RABBIT,8
ARMAGEDDON,7
MORDRED THE EVIL,58
"SENNET, PAMELA",14
CEREBRITE ALPHA,14
MOONSTOMP/,9
"DUGAN, DUM DUM | MUT",17
BLACK CRANE/,9
CRIMSON COWL II/,101
SABRE,9
"JONES, DRUCILLA",7
RIPSTER,4
GOG II,7
"B'KOSA, GEN. JONATHA",8
ICON/DR. U'MBAYA A'K,8
BARAK,6
"SMITH, COL. TOLLIVER",14
CHANCE II/NICHOLAS P,29
GULADKIN,6
SCORPIO II,12
LEAP-FROG/VINCENT PA,64
STEM,4
"WOLFE, SARA",53
SCORPIO IV,26
"BANNERJEE, DR.",7
NIGHTCRAWLER 2013,5
SMASHER III,5
SWITCH/DEVON ALOMAR,21
"MCCULLOUGH, DR. ANDR",8
REQUIEM/,2
"BOLT, COUNCILMAN AND",17
AEGIS/TREY ROLLINS,44
N'ASTIRH,62
CROSSBONES/BROCK BIN,83
MR. FEAR V/,4
D.O.A.,31
OTHER,13
BOOKWORM/NELSON GRUB,1
DAMBALLAH,1
GRIM HUNTER/KRAVINOF,14
FAMINE/AUTUMN ROLFSO,65
PRETTY LARRY,1
GUARDIAN | MUTANT X-,10
"GREEN, ARNIE",5
SHELLSHOCK/,18
NANNY,18
KALA,42
FORTUNE,2
KALI,7
GOLEM III,3
"STARK, HOWARD | TIME",14
ENTITY,11
CASPER,11
BRUNNHILDE/MCM-XLI (,9
"CORSI, TOM",116
"MACKAY, MURDO",0
KUROYAMA,4
HATCHET MAN/HACHIMAN,8
ROSETTA STONE,9
PEARLA,8
HOTAMITANIO,7
CROSSFIRE,18
KATSU'TA'RO,5
AL-KHALAD,4
MADAME WEB/CASSANDRA,33
ANOMALY,12
URSULA,8
PISTON/ANDREI SEMYAN,5
RED GUARDIAN III/DR.,115
"ASTROVIK, ARNOLD",21
"STYGE, REV.",7
"WATSON, TOMMY",3
EZEKEEL,0
ITZAMNA,8
INERTIA/,3
WITHERS,2
SHE-WOLF/PAULETTE BR,2
VULTURE II/BLACKIE D,8
"PETROVITCH, IVAN",62
"ALEXANDER, CALEB",28
"CURSON, LT. TARA",5
"MAXIMOFF, DJANGO",34
GLADIATRIX,10
KANGAROO/FRANK OLIVE,1
"BERNSTEIN, EMMA WEBS",8
CYPHER/DOUG RAMSEY,205
HIROMITSU,30
"RIVERA, MS.",2
PURPLE MAN/ZEBEDIAH,42
TOMORROW HAWK/CEYOTE,8
DR. BONG,10
MANT/ERNEST,0
"CONROY, KAREN",0
"STOKER, OLIVIER",0
REDWING II,4
MISFIT/,25
"GILMORE, BERT",0
BASALTAR,1
ETERNAL BRAIN/PROFES,27
KARMA 2013,8
GRIM REAPER/ERIC WIL,81
ANGEL 2013,7
FOLD,14
"LOCKE, DR. ALEXANDER",32
TONGAH,30
"PACKER, ARTIE",5
SPARROW,22
BLACKWING II/,16
DEVOS THE DEVESTATOR,55
DIRT NAP,37
MIDNIGHT'S FIRE/,19
"VEGA, ROBIN",4
AZIR,10
CARRION,11
BRUTE | MUTANT X-VER,77
GRANITOR,7
WIZARD OF THE WEST,0
"BANNON, LANCE",86
"TOWNSEND, CHRIS",5
"CHURCHILL, SIR WINST",16
NETTLES,0
GIDEON,74
"VOGE, TULLAMORE",16
"FARREL, MIKE",37
BLACK KNIGHT II/SIR,18
DARIA,19
MONTANA II,2
NOVA DOPPELGANGER II,46
"EDGERTON, MR.",22
HAVEN/RADHA DASTOOR,10
BLOODSHED/WYNDELL DI,2
NIMROD III,11
"KAISHEK, YOLYN",4
MOLE,11
ONE ABOVE ALL [CELES,82
"PARKER, MAY III",9
"LANGSTROM, LIEUTENAN",24
"ELLIS, KEN",77
"ROWEN, MIKE",2
THUNDERBIRD III/NEAL,101
HANRANSHA/ASAHI,4
D'KAY,4
"PALERMO, VICTOR",41
HARNESS/ERIKA BENSON,41
QUASAR II,52
M,91
"MARLES, DR. THOMAS",16
"ROTH, DR. GERALD",9
SOULFIRE/JASON MALDO,5
FROH,8
"MCCABE, LINDSAY",54
VANISHER,125
"KING, HANNIBAL/HENRY",43
HAYDEN,10
VIGIL,1
"ZEDRAO, GENERAL",14
BLACK KNIGHT/SIR PER,49
VIENNA,7
"BADALAMENTE, JESUS",41
"URICH, DORIS",29
"GARCIA, REV.",7
QUASAR DOPPELGANGER,3
POPEYE,12
"MICHAELS, DAWN",2
ULYSSES,2
VEIL,8
SUZIE,5
DR. SYNNE,8
BRIGHTSWORD/CARTER D,53
"RICHARDS, NATHANIEL",74
"EHMAN, HEIDI",0
LORVEX,5
HELIUM,9
SNAKE-EYES,2
BETTY-6,20
MASTER FOUR,3
"BALLANTINE, DEVON",2
"ZANE, DONOVAN",10
TUSK,56
INFINITY THRALL,1
DEATH,194
REFLEX/,16
"OSBORN, NORMAN",5
"ADAMSON, REBECCA",3
ELEC'TRIX/,9
HEDRON,15
CATAPHRAX,24
HAV-ROGG,8
QUAGMIRE,47
DAZZLER/BURTRAM WORT,27
MYSTIQUE | MUTANT X-,18
ZOM,6
ZON,33
RUMOR/,9
"MORGAN, JERROLD JERR",37
ASTROLOGER/,2
SASQUATCH II,36
"TSO, JASON",20
"HAWLEY, PAMELA",3
"WOO, JIMMY",42
PSYLOCKE 2013,5
BELIAL,12
"MARLOWE, STEVE",6
"MACENDALE, KAREN",5
"BAXTER, NOAH",22
"GREICO, LINDA",2
"QUINN, ASHLEY",33
CHAUFFARD,2
"BECKLEY, BENNY",0
"KANE, SUGAR",4
"TARR, BLACK JACK",22
VEGA-SUPERIOR,3
ECLECTA/,5
"MANH, COY LEONG XUI",34
TRACER,1
BAAL II,3
MARAUDER II,1
"CARBONE, SALVATORE",6
"TANNER, JACKO",7
IZANAMI,19
"RORY, RICHARD",36
TIMBERIUS,55
HOWARD THE DUCK,61
"STUART, BRIG. ALYSAN",51
SYLPH,1
WIDE LOAD ANNIE/ANNI,13
BUEL,6
IDNAR,5
RAPIER,19
PARADOX,4
"BARKER, MATTHEW T.",4
SIGN/,10
THERAK,38
"MCCOY, NORTON",25
BROTHERS GRIMM,4
SQUID/DONNY CALLAHAN,13
PHOENIX 2013,9
LADY DEATHSTRIKE/YUR,77
SKYMAX/SK'YM'X/JAMES,14
MOTHER-OF-PAIN,9
"RIDGE, CHRISTINA DEV",0
FIRESTAR | MUTANT X-,11
"NELSON, FRANKLIN FOG",355
JASON,23
SENTRY 459,33
