"IPAddress","gen_StartDate","gen_EndDate","gen_TotalTimeSpentMinutes","gen_Gender","gen_Age","gen_Education","gen_Role","gen_Industry","gen_PageOneTimeMinutes","gen_PageOneNumberClicks","iq_Question1Response","iq_Question1CorrectAnswer","iq_Question2Response","iq_Question2CorrectAnswer","iq_Question3Response","iq_Question3CorrectAnswer","iq_TotalCorrect","iq_PercentageCorrect","iq_PageTwoTimeMinutes","iq_PageTwoNumberClicks","exp1_Treatment","exp1_Question1Response","exp1_Question1CorrectAnswer","exp1_Question2Response","exp1_Question2CorrectAnswer","exp1_Question3Response","exp1_Question3CorrectAnswer","exp1_Question4Response","exp1_Question4CorrectAnswer","exp1_TotalCorrect","exp1_PercentageCorrect","exp1_Question5Response","exp1_PageThreeTimeMinutes","exp1_PageThreeNumberClicks","exp1_PageFourTimeMinutes","exp1_PageFourNumberClicks","recall_Question1Response","recall_Question1CorrectAnswer","recall_Question2Response","recall_Question2CorrectAnswer","recall_Invalid","recall_TotalCorrect","recall_PercentageCorrect","recall_PageFiveTimeMinutes","recall_PageFiveNumberClicks","exp2_Treatment","exp2_DisplayedTreatment","exp2_Question1Response","exp2_Question2Response","exp2_Question2CorrectAnswer","exp2_Question3Response","exp2_Question3CorrectAnswer","exp2_Question4Response","exp2_Question4CorrectAnswer","exp2_TotalCorrect","exp2_PercentageCorrect","exp2_PageSixTimeMinutes","exp2_PageSixNumberClicks","exp2_PageSevenTimeMinutes","exp2_PageSevenNumberClicks","finalq_Question1Response","finalq_Question1CorrectAnswer","finalq_Question2Response","finalq_Question3Response","finalq_PercentageCorrect"
"172.56.22.238",2015-11-29 15:05:00,2015-11-29 15:13:00,8,"Male",32,"Some College","Manager","Construction",0.482616666666667,8,"2",0,"4",1,"2",1,2,0.666666666666667,0.865033333333333,3,,"3",1,"3",1,"3",1,"3",0,3,0.75,"1",0.238433333333333,2,0.93125,3,"6",1,"6",1,0,2,1,0.221816666666667,3,"No Log scatterplot",,"5","1",1,"2",1,"1",0,2,0.666666666666667,0.22135,2,0.129233333333333,2,"5",1,"5","5",1
"98.145.156.157",2015-11-29 15:05:00,2015-11-29 15:13:00,8,"Male",24,"4-year College Degree","Employee","Health Care or Pharmecuticals",0.596816666666667,6,"1",1,"4",1,"2",1,3,1,1.77048333333333,3,,"3",1,"3",1,"2",0,"3",0,2,0.5,"3",0.599733333333333,2,0.898516666666667,3,"1",0,"5",0,0,0,0,0.30525,3,"Unordered Table",,"4","2",0,"1",0,"1",0,0,0,0.8493,3,0.0678666666666667,2,"1",0,"4","2",0
"67.84.117.164",2015-11-29 15:06:00,2015-11-29 15:14:00,8,"Male",28,"4-year College Degree","None of these apply","None of these apply",0.31495,7,"1",1,"1",0,"2",1,2,0.666666666666667,1.30848333333333,3,,"3",1,"3",1,"3",1,"3",0,3,0.75,"3",0.1316,2,0.51295,3,"6",1,"6",1,0,2,1,0.31375,3,"No Log scatterplot",,"1","1",1,"2",1,"2",1,3,1,0.315883333333333,2,0.19255,2,"1",0,"4","2",0
"162.194.105.170",2015-11-29 15:05:00,2015-11-29 15:14:00,9,"Female",63,"4-year College Degree","Employee","Education",0.289033333333333,7,"1",1,"3",0,"2",1,2,0.666666666666667,0.48245,3,,"3",1,"1",0,"3",1,"1",1,3,0.75,"2",0.820233333333333,3,0.962466666666667,4,"6",1,"6",1,0,2,1,0.314066666666667,3,"Unordered Table",,"4","1",1,"1",0,"1",0,1,0.333333333333333,1.7093,5,0.1896,2,"3",0,"4","4",0
"68.37.176.51",2015-11-29 15:11:00,2015-11-29 15:15:00,4,"Male",33,"4-year College Degree","Employee","Education",0.335283333333333,7,"1",1,"1",0,"4",0,1,0.333333333333333,0.129133333333333,3,,"2",0,"2",0,"2",0,"2",0,0,0,"2",0.137766666666667,2,0.11095,4,"6",1,"5",0,0,1,0.5,0.0871833333333333,3,"Log scatterplot",,"3","2",0,"2",1,"3",0,1,0.333333333333333,0.0931833333333333,3,0.178616666666667,3,"1",0,"4","4",0
"172.101.75.133",2015-11-29 15:09:00,2015-11-29 15:15:00,6,"Male",33,"4-year College Degree","Employee","Education",0.23705,6,"1",1,"4",1,"2",1,3,1,0.69775,3,,"3",1,"3",1,"3",1,"3",0,3,0.75,"1",0.358433333333333,2,0.377283333333333,3,"6",1,"6",1,0,2,1,0.15025,3,"Ordered Table",,"4","1",1,"2",1,"2",1,3,1,0.177466666666667,2,0.0969166666666666,2,"1",0,"5","5",0
"108.194.58.179",2015-11-29 15:06:00,2015-11-29 15:15:00,9,"Female",42,"2-year College Degree","Manager","None of these apply",1.29956666666667,16,"1",1,"4",1,"2",1,3,1,1.06223333333333,12,,"3",1,"2",0,"2",0,"2",0,1,0.25,"1",1.3017,6,1.06386666666667,9,"6",1,"7",0,0,1,0.5,0.349316666666667,7,"Unordered Table",,"5","1",1,"1",0,"4",0,1,0.333333333333333,2.11218333333333,10,0.2708,4,"1",0,"4","5",0
"73.242.75.57",2015-11-29 15:05:00,2015-11-29 15:15:00,10,"Female",35,"4-year College Degree","Employee","Education",0.673483333333333,13,"1",1,"1",0,"2",1,2,0.666666666666667,1.95186666666667,8,,"3",1,"4",0,"3",1,"4",0,2,0.5,"1",1.27466666666667,8,0.693416666666667,8,"6",1,"6",1,0,2,1,0.250766666666667,6,"Log scatterplot",,"4","1",1,"2",1,"2",1,3,1,1.43888333333333,9,0.6871,7,"5",1,"4","4",1
"71.56.37.206",2015-11-29 15:05:00,2015-11-29 15:15:00,10,"Female",47,"4-year College Degree","None of these apply","None of these apply",0.667783333333333,9,"1",1,"4",1,"2",1,3,1,1.58728333333333,3,,"3",1,"4",0,"3",1,"4",0,2,0.5,"3",0.265883333333333,2,0.593483333333333,3,"6",1,"7",0,0,1,0.5,0.2487,3,"Log scatterplot",,"4","1",1,"2",1,"3",0,2,0.666666666666667,0.581616666666667,2,0.21875,2,"3",0,"4","4",0
"173.27.26.121",2015-11-29 15:06:00,2015-11-29 15:15:00,9,"Female",32,"Some College","None of these apply","None of these apply",0.572416666666667,12,"1",1,"4",1,"2",1,3,1,1.65838333333333,23,,"3",1,"3",1,"3",1,"3",0,3,0.75,"1",1.43251666666667,7,1.0195,10,"6",1,"6",1,0,2,1,0.28505,7,"Log scatterplot",,"5","1",1,"1",0,"3",0,1,0.333333333333333,0.877333333333334,8,0.3326,5,"3",0,"5","5",0
"72.175.125.199",2015-11-29 15:06:00,2015-11-29 15:15:00,9,"Female",68,"Some College","None of these apply","None of these apply",0.795183333333333,20,"1",1,"1",0,"2",1,2,0.666666666666667,1.6001,19,,"3",1,"2",0,"2",0,"2",0,1,0.25,"3",1.17331666666667,17,0.9939,15,"6",1,"6",1,0,2,1,0.662933333333333,14,"No Log scatterplot",,"5","1",1,"2",1,"2",1,3,1,1.47371666666667,22,1.26598333333333,13,"1",0,"5","5",0
"108.253.177.26",2015-11-29 15:10:00,2015-11-29 15:15:00,5,"Male",27,"4-year College Degree","Executive Officer","Information",0.289516666666667,7,"1",1,"1",0,"2",1,2,0.666666666666667,0.452233333333333,3,,"3",1,"3",1,"3",1,"3",0,3,0.75,"3",0.182716666666667,2,0.465583333333333,4,"1",0,"5",0,0,0,0,0.157633333333333,4,"Ordered Table",,"5","1",1,"2",1,"2",1,3,1,0.279716666666667,2,0.1473,2,"1",0,"5","5",0
"173.80.143.151",2015-11-29 15:06:00,2015-11-29 15:15:00,9,"Female",53,"2-year College Degree","Employee","Health Care or Pharmecuticals",0.794833333333333,13,"1",1,"2",0,"1",0,1,0.333333333333333,2.07876666666667,12,,"3",1,"2",0,"3",1,"2",0,2,0.5,"1",1.89253333333333,8,0.8791,7,"6",1,"6",1,0,2,1,0.44525,6,"Unordered Table",,"5","3",0,"3",0,"3",0,0,0,0.409583333333333,4,0.19435,4,"1",0,"5","5",0
"70.174.140.246",2015-11-29 15:08:00,2015-11-29 15:16:00,8,"Male",31,"Doctoral Degree","Employee","Manufacturing",0.2977,8,"1",1,"4",1,"2",1,3,1,1.22853333333333,4,,"3",1,"1",0,"3",1,"1",1,3,0.75,"2",0.2904,2,1.8232,3,"6",1,"6",1,0,2,1,0.26365,3,"Unordered Table",,"5","1",1,"1",0,"4",0,1,0.333333333333333,0.371366666666667,4,0.119066666666667,2,"1",0,"5","5",0
"71.168.68.176",2015-11-29 15:10:00,2015-11-29 15:16:00,6,"Male",19,"Some College","None of these apply","None of these apply",0.361416666666667,7,"1",1,"4",1,"2",1,3,1,0.830716666666667,3,,"3",1,"3",1,"2",0,"3",0,2,0.5,"3",0.3532,2,0.831033333333333,5,"6",1,"6",1,0,2,1,0.209733333333333,4,"Log scatterplot",,"4","3",0,"2",1,"3",0,1,0.333333333333333,0.2159,2,0.19265,2,"1",0,"4","4",0
"71.59.50.32",2015-11-29 15:07:00,2015-11-29 15:17:00,10,"Female",40,"4-year College Degree","Employee","Health Care or Pharmecuticals",0.4004,11,"1",1,"4",1,"1",0,2,0.666666666666667,1.43786666666667,8,,"3",1,"2",0,"2",0,"2",0,1,0.25,"3",0.557583333333333,5,0.69785,6,"6",1,"6",1,0,2,1,0.3316,5,"Ordered Table",,"4","1",1,"2",1,"2",1,3,1,2.45758333333333,8,0.128816666666667,5,"2",0,"5","5",0
"67.149.225.114",2015-11-29 15:08:00,2015-11-29 15:17:00,9,"Female",28,"Some College","Employee","Trade, Transportation and Utilites",0.5334,12,"1",1,"4",1,"2",1,3,1,0.816033333333333,10,,"3",1,"3",1,"3",1,"3",0,3,0.75,"1",1.10605,4,0.729066666666667,3,"1",0,"6",1,0,1,0.5,0.228633333333333,4,"No Log scatterplot",,"4","1",1,"2",1,"2",1,3,1,0.395133333333333,2,0.270883333333333,2,"5",1,"5","5",1
"98.219.132.226",2015-11-29 15:08:00,2015-11-29 15:17:00,9,"Male",35,"Masters Degree","Manager","None of these apply",0.562733333333333,6,"1",1,"1",0,"2",1,2,0.666666666666667,0.70255,3,,"3",1,"1",0,"2",0,"1",1,2,0.5,"1",0.4067,2,0.5463,3,"6",1,"6",1,0,2,1,0.270316666666667,3,"Log scatterplot",,"5","1",1,"2",1,"3",0,2,0.666666666666667,0.6721,2,0.245833333333333,2,"5",1,"5","5",1
"67.197.53.231",2015-11-29 15:05:00,2015-11-29 15:17:00,12,"Female",34,"4-year College Degree","Employee","Professional and Business Services",0.5313,9,"1",1,"2",0,"2",1,2,0.666666666666667,0.804516666666667,5,,"3",1,"4",0,"3",1,"4",0,2,0.5,"1",0.412416666666667,2,0.751566666666667,3,"6",1,"6",1,0,2,1,0.248083333333333,3,"Log scatterplot",,"4","1",1,"2",1,"3",0,2,0.666666666666667,1.3682,4,0.284,2,"1",0,"4","5",0
"205.172.173.250",2015-11-29 15:05:00,2015-11-29 15:17:00,12,"Male",61,"Masters Degree","Employee","Education",0.505016666666667,11,"1",1,"4",1,"1",0,2,0.666666666666667,1.49858333333333,8,,"3",1,"4",0,"3",1,"4",0,2,0.5,"3",2.09293333333333,9,1.6413,9,"6",1,"6",1,0,2,1,0.300283333333333,5,"No Log scatterplot",,"5","2",0,"1",0,"4",0,0,0,2.71976666666667,7,0.9892,9,"3",0,"5","5",0
"23.243.92.24",2015-11-29 15:05:00,2015-11-29 15:18:00,13,"Male",28,"4-year College Degree","Employee","Trade, Transportation and Utilites",0.402233333333333,6,"1",1,"4",1,"2",1,3,1,1.24463333333333,4,,"3",1,"2",0,"3",1,"2",0,2,0.5,"3",0.3994,2,1.13946666666667,4,"6",1,"5",0,0,1,0.5,0.337483333333333,3,"No Log scatterplot",,"2","1",1,"2",1,"2",1,3,1,0.625683333333333,3,0.876,3,"1",0,"4","4",0
"184.90.187.86",2015-11-29 15:09:00,2015-11-29 15:18:00,9,"Male",21,"4-year College Degree","None of these apply","None of these apply",0.4183,11,"1",1,"4",1,"1",0,2,0.666666666666667,1.93103333333333,7,,"3",1,"3",1,"3",1,"3",0,3,0.75,"1",0.925133333333333,2,0.571216666666667,3,"6",1,"6",1,0,2,1,0.363183333333333,4,"Ordered Table",,"2","1",1,"2",1,"2",1,3,1,0.6753,6,0.145183333333333,4,"3",0,"5","5",0
"75.109.76.236",2015-11-29 15:07:00,2015-11-29 15:18:00,11,"Male",54,"Masters Degree","Employee","None of these apply",0.78305,15,"1",1,"4",1,"2",1,3,1,0.803116666666667,7,,"3",1,"3",1,"2",0,"3",0,2,0.5,"3",2.3361,10,1.09288333333333,8,"6",1,"6",1,0,2,1,0.437666666666667,7,"Ordered Table",,"2","1",1,"2",1,"2",1,3,1,2.67496666666667,15,0.5795,5,"4",0,"3","3",0
"71.88.152.220",2015-11-29 15:08:00,2015-11-29 15:18:00,10,"Male",18,"High School / GED","None of these apply","None of these apply",0.18835,6,"1",1,"4",1,"2",1,3,1,1.1005,4,,"3",1,"2",0,"2",0,"2",0,1,0.25,"1",0.996983333333333,4,1.66116666666667,3,"6",1,"1",0,0,1,0.5,0.832233333333333,5,"Log scatterplot",,"2","3",0,"2",1,"3",0,1,0.333333333333333,0.528716666666667,3,0.349883333333333,3,"1",0,"3","3",0
"99.135.149.69",2015-11-29 15:11:00,2015-11-29 15:18:00,7,"Male",33,"High School / GED","Employee","Trade, Transportation and Utilites",0,0,"1",1,"1",0,"2",1,2,0.666666666666667,0.227833333333333,2,,"3",1,"2",0,"2",0,"2",0,1,0.25,"1",0.997633333333333,4,0.513983333333333,3,"6",1,"6",1,0,2,1,0.210833333333333,3,"Unordered Table",,"1","1",1,"1",0,"4",0,1,0.333333333333333,0.0473833333333333,2,0,0,"5",1,"4","2",1
"184.56.34.23",2015-11-29 15:07:00,2015-11-29 15:18:00,11,"Female",24,"2-year College Degree","Manager","Professional and Business Services",1.21203333333333,11,"1",1,"1",0,"2",1,2,0.666666666666667,1.10136666666667,5,,"3",1,"2",0,"2",0,"2",0,1,0.25,"1",1.66008333333333,8,2.07973333333333,16,"6",1,"6",1,0,2,1,0.3625,5,"Unordered Table",,"4","2",0,"1",0,"2",1,1,0.333333333333333,3.18255,14,0.05795,4,"1",0,"4","4",0
"66.56.8.213",2015-11-29 15:04:00,2015-11-29 15:18:00,14,"Male",23,"Some College","None of these apply","None of these apply",0.584433333333333,7,"1",1,"3",0,"1",0,1,0.333333333333333,2.32821666666667,4,,"3",1,"3",1,"3",1,"3",0,3,0.75,"3",0.85145,6,1.36968333333333,5,"6",1,"6",1,0,2,1,0.243033333333333,3,"Ordered Table",,"3","1",1,"2",1,"2",1,3,1,0.83065,5,0.532516666666667,2,"2",0,"5","5",0
"184.58.17.40",2015-11-29 15:09:00,2015-11-29 15:19:00,10,"Female",37,"2-year College Degree","Employee","Health Care or Pharmecuticals",0.2822,5,"1",1,"2",0,"2",1,2,0.666666666666667,2.05396666666667,10,,"3",1,"3",1,"3",1,"3",0,3,0.75,"1",0.228733333333333,2,0.636,3,"6",1,"6",1,0,2,1,0.270666666666667,3,"Ordered Table",,"4","1",1,"2",1,"2",1,3,1,0.519516666666667,3,0.163383333333333,2,"5",1,"4","4",1
"74.89.97.77",2015-11-29 15:13:00,2015-11-29 15:19:00,6,"Male",21,"2-year College Degree","None of these apply","None of these apply",0.389383333333333,7,"1",1,"4",1,"1",0,2,0.666666666666667,0.725683333333333,3,,"3",1,"3",1,"4",0,"3",0,2,0.5,"1",0.418733333333333,3,0.5622,3,"2",0,"6",1,0,1,0.5,0.218283333333333,4,"Unordered Table",,"3","2",0,"2",1,"1",0,1,0.333333333333333,0.223366666666667,3,0.032,2,"3",0,"4","4",0
"69.113.247.182",2015-11-29 15:07:00,2015-11-29 15:19:00,12,"Female",29,"4-year College Degree","Employee","Health Care or Pharmecuticals",1.00133333333333,6,"1",1,"4",1,"2",1,3,1,2.38296666666667,13,,"3",1,"1",0,"3",1,"1",1,3,0.75,"1",0.216683333333333,2,1.3176,5,"6",1,"6",1,0,2,1,0.464916666666667,3,"Ordered Table",,"5","1",1,"2",1,"2",1,3,1,1.04473333333333,2,0.08615,2,"3",0,"5","3",0
"108.217.72.81",2015-11-29 15:10:00,2015-11-29 15:19:00,9,"Male",34,"High School / GED","None of these apply","None of these apply",0.363533333333333,7,"1",1,"4",1,"3",0,2,0.666666666666667,1.00661666666667,4,,"3",1,"3",1,"3",1,"3",0,3,0.75,"1",0.406316666666667,2,1.11378333333333,4,"4",0,"4",0,0,0,0,0.24055,4,"Unordered Table",,"5","3",0,"2",1,"2",1,2,0.666666666666667,0.190366666666667,2,0.0841666666666667,2,"2",0,"5","5",0
"67.60.191.92",2015-11-29 15:10:00,2015-11-29 15:19:00,9,"Male",32,"4-year College Degree","Employee","Professional and Business Services",0.592166666666667,10,"1",1,"4",1,"1",0,2,0.666666666666667,0.699266666666667,6,,"3",1,"3",1,"3",1,"3",0,3,0.75,"1",0.690783333333333,5,1.36848333333333,8,"6",1,"5",0,0,1,0.5,0.252583333333333,6,"Unordered Table",,"4","1",1,"1",0,"2",1,2,0.666666666666667,1.19543333333333,4,0.1347,4,"4",0,"5","5",0
"172.91.47.128",2015-11-29 15:11:00,2015-11-29 15:20:00,9,"Male",39,"Some College","Employee","None of these apply",0.661533333333333,7,"1",1,"4",1,"2",1,3,1,0.993183333333333,3,,"3",1,"3",1,"3",1,"3",0,3,0.75,"1",0.406666666666667,2,0.794416666666667,3,"6",1,"6",1,0,2,1,0.22705,3,"No Log scatterplot",,"1","1",1,"2",1,"4",0,2,0.666666666666667,0.342133333333333,2,0.195083333333333,2,"2",0,"3","1",0
"50.38.52.158",2015-11-29 15:13:00,2015-11-29 15:21:00,8,"Female",41,"Some College","None of these apply","None of these apply",0.2036,6,"1",1,"4",1,"2",1,3,1,1.2668,4,,"3",1,"3",1,"2",0,"3",0,2,0.5,"3",0.682666666666667,2,1.11358333333333,3,"6",1,"6",1,0,2,1,0.162383333333333,3,"Unordered Table",,"4","1",1,"1",0,"1",0,1,0.333333333333333,0.39195,2,0.117816666666667,2,"1",0,"5","5",0
"45.48.247.220",2015-11-29 15:10:00,2015-11-29 15:21:00,11,"Female",30,"4-year College Degree","Employee","Leisure and Hospitality",1.84906666666667,10,"1",1,"4",1,"2",1,3,1,1.56726666666667,4,,"3",1,"3",1,"3",1,"3",0,3,0.75,"1",1.45793333333333,4,0.290416666666667,4,"6",1,"4",0,0,1,0.5,0.23205,3,"Log scatterplot",,"4","1",1,"2",1,"3",0,2,0.666666666666667,0.364816666666667,5,0.3542,7,"4",0,"4","3",0
"71.74.233.164",2015-11-29 15:16:00,2015-11-29 15:21:00,5,"Male",23,"2-year College Degree","Employee","Education",0.455983333333333,6,"1",1,"3",0,"2",1,2,0.666666666666667,0.728166666666667,3,,"3",1,"2",0,"3",1,"2",0,2,0.5,"1",0.302283333333333,2,0.585816666666667,3,"6",1,"6",1,0,2,1,0.19815,3,"Ordered Table",,"4","1",1,"2",1,"2",1,3,1,0.1888,3,0.0980833333333333,2,"4",0,"4","4",0
"23.125.200.72",2015-11-29 15:10:00,2015-11-29 15:21:00,11,"Female",30,"High School / GED","None of these apply","None of these apply",0.547,12,"1",1,"4",1,"1",0,2,0.666666666666667,1.5175,9,,"3",1,"3",1,"3",1,"3",0,3,0.75,"1",2.02255,13,1.19678333333333,15,"5",0,"6",1,0,1,0.5,0.478833333333333,9,"Ordered Table",,"3","1",1,"2",1,"2",1,3,1,2.3064,12,0.412516666666667,7,"3",0,"4","4",0
"72.184.239.100",2015-11-29 15:13:00,2015-11-29 15:21:00,8,"Male",27,"2-year College Degree","Employee","Health Care or Pharmecuticals",0.450016666666667,13,"1",1,"2",0,"2",1,2,0.666666666666667,1.4653,5,,"3",1,"2",0,"2",0,"2",0,1,0.25,"1",0.312066666666667,4,0.599866666666667,3,"6",1,"6",1,0,2,1,0.21665,4,"Ordered Table",,"4","1",1,"2",1,"2",1,3,1,0.203566666666667,2,0.180616666666667,6,"2",0,"4","4",0
"76.182.40.250",2015-11-29 15:10:00,2015-11-29 15:22:00,12,"Female",25,"2-year College Degree","None of these apply","None of these apply",0.294516666666667,8,"2",0,"4",1,"1",0,1,0.333333333333333,2.27421666666667,6,,"3",1,"3",1,"3",1,"3",0,3,0.75,"1",0.904716666666667,2,0.70365,3,"6",1,"5",0,0,1,0.5,0.616216666666667,4,"Log scatterplot",,"4","1",1,"2",1,"2",1,3,1,0.396866666666667,2,0.358066666666667,2,"3",0,"4","4",0
"71.235.198.251",2015-11-29 15:12:00,2015-11-29 15:22:00,10,"Male",25,"4-year College Degree","Employee","Financial Activities",0.200266666666667,10,"1",1,"4",1,"2",1,3,1,0.569166666666667,3,,"3",1,"3",1,"3",1,"3",0,3,0.75,"1",0.375583333333333,13,0.478633333333333,7,"6",1,"6",1,0,2,1,0.136466666666667,3,"Log scatterplot",,"4","1",1,"2",1,"3",0,2,0.666666666666667,2.52663333333333,11,0.50355,10,"5",1,"4","3",1
"68.4.157.208",2015-11-29 15:06:00,2015-11-29 15:22:00,16,"Female",56,"Some College","Employee","None of these apply",0.64645,7,"1",1,"4",1,"2",1,3,1,1.83316666666667,3,,"3",1,"2",0,"2",0,"2",0,1,0.25,"3",0.370266666666667,2,1.08313333333333,3,"6",1,"6",1,0,2,1,0.393916666666667,3,"Unordered Table",,"2","1",1,"3",0,"2",1,2,0.666666666666667,0.440016666666666,2,0.258616666666667,3,"1",0,"5","5",0
