V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,Q56_1,Q56_2,Q56_3,Q56_4,Q7,Q5,Q2,Q53,Q10,Q54,Q57_1,Q57_2,Q57_3,Q57_4,Q45,Q25,Q60,Q59,Q27,Q20_1,Q20_2,Q20_3,Q20_4,Q21_1_TEXT,Q21_2_TEXT,Q21_3_TEXT,Q21_4_TEXT,Q21_5_TEXT,Q21_6_TEXT,Q21_7_TEXT,Q22,Q49,Q19,Q20,Q23,Q24,Q25,Q21,Q27,Q29,Q71_1,Q71_2,Q71_3,Q71_4,Q73,Q72_1_TEXT,Q72_2_TEXT,Q72_3_TEXT,Q72_4_TEXT,Q72_5_TEXT,Q72_6_TEXT,Q72_7_TEXT,Q70,Q69,Q68,Q67,Q66,Q65,Q28,Q29,Q30,Q34_1,Q34_2,Q34_3,Q34_4,Q31,Q32,Q63,Q63_TEXT,Q23_1,Q23_2,Q23_3,Q23_4,Q47,Q39,Q40,Q58,Q42,Q43,Q44,Q35_1,Q36,Q79_1,Q79_2,Q79_3,Q79_4,Q80_1_TEXT,Q80_2_TEXT,Q80_3_TEXT,Q80_4_TEXT,Q80_5_TEXT,Q80_6_TEXT,Q80_7_TEXT,Q81,Q74,Q75,Q76,Q77,Q61,Q62,Q48,Q38,Q37_1,Q37_2,LocationLatitude,LocationLongitude,LocationAccuracy
R_3lxkFvRuWi457CH,Default Response Set,Anonymous,,,71.235.198.251,0,11/29/2015 15:12,11/29/2015 15:22,1,0.784,12.8,15.627,10,1,11,5,5,3,A149ROBL26JWPJ,13.808,47.958,52.417,3,1,1,1,4,2,2.371,24.906,225.865,13,Chrome,46.0.2490.86,Windows NT 6.3,1600x900,19.0.0,1,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.86 Safari/537.36",1,1,,,,1,,,3,3,5.944,34.662,44.206,7,1,Chrome,46.0.2490.86,Windows NT 6.3,1600x900,19.0.0,1,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.86 Safari/537.36",,,,,1,,3,1,1,59.299,67.487,69.607,3,6,6,3,,3.162,154.76,156.344,11,1,1,1,,,,1,4,1,1.345,31.558,32.68,10,Chrome,46.0.2490.86,Windows NT 6.3,1600x900,19.0.0,1,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.86 Safari/537.36",1,1,,,,2,3,1,5,4,3,42.79589844,-71.05699921,-1
R_3O232QeEYCUYNVf,Default Response Set,Anonymous,,,120.29.121.133,0,11/29/2015 15:07,11/29/2015 15:22,1,1.351,69.678,82.316,14,1,10,5,5,6,A1WE7JOOWZSMHF,3.195,239.168,245.185,6,1,1,1,3,2,3.292,69.419,70.319,8,Chrome,46.0.2490.86,Windows NT 6.1,1920x1080,19.0.0,1,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.86 Safari/537.36",1,1,,,1,,,,3,3,4.578,60.073,62.327,8,1,Chrome,46.0.2490.86,Windows NT 6.1,1920x1080,19.0.0,1,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.86 Safari/537.36",,,,1,,,3,1,1,12.826,152.978,153.98,5,6,6,3,,0.665,132.75,268.974,5,1,1,,1,,,1,3,1,2.5,5.236,7.794,2,Chrome,46.0.2490.86,Windows NT 6.1,1920x1080,19.0.0,1,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.86 Safari/537.36",1,,1,,,2,4,1,2,3,3,15.1499939,120.583313,-1
R_1erYHrLGQZBtfPz,Default Response Set,Anonymous,,,68.4.157.208,0,11/29/2015 15:06,11/29/2015 15:22,1,1.118,39.905,43.306,7,2,42,3,5,11,A1RZT7L92M3XY0,27.761,137.751,140.803,3,1,1,1,4,2,122.303,144.519,152.71,2,Chrome,46.0.2490.86,Windows NT 6.0,1024x768,19.0.0,1,"Mozilla/5.0 (Windows NT 6.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.86 Safari/537.36",1,1,,,1,,,,3,2,20.957,85.945,87.244,3,1,Chrome,46.0.2490.86,Windows NT 6.0,1024x768,19.0.0,1,"Mozilla/5.0 (Windows NT 6.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.86 Safari/537.36",,,,1,,,2,1,3,5.499,29.134,36.634,3,6,6,3,,308.516,334.917,371.019,2,1,1,,,1,,1,2,1,33.06,48.577,52.427,3,Chrome,46.0.2490.86,Windows NT 6.0,1024x768,19.0.0,1,"Mozilla/5.0 (Windows NT 6.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.86 Safari/537.36",1,,,,,3,2,1,1,5,5,33.60510254,-117.6439972,-1
R_1o2e7x3Sr5iYAJD,Default Response Set,Anonymous,,,97.123.59.30,0,11/29/2015 15:12,11/29/2015 15:22,1,1.601,31.336,34.057,8,1,18,5,4,2,A2DAZ0CJ3VKS80,21.516,92.15,94.344,4,1,1,1,1,2,10.322,97.61,99.287,6,Firefox,42,Windows NT 6.1,1280x800,19.0.0,1,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:42.0) Gecko/20100101 Firefox/42.0,1,1,,,,,,1,3,3,11.63,59.243,63.354,4,1,Firefox,42,Windows NT 6.1,1280x800,19.0.0,1,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:42.0) Gecko/20100101 Firefox/42.0,,,1,,,,3,1,1,19.356,29.995,33.969,3,6,6,3,,6.016,200.97,202.982,9,1,1,,,1,,1,2,1,19.837,29.083,30.81,2,Firefox,42,Windows NT 6.1,1280x800,19.0.0,1,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:42.0) Gecko/20100101 Firefox/42.0,1,,,,,2,2,1,5,5,4,35.78469849,-105.8749008,-1
R_2QDo8KlLX8e8EFI,Default Response Set,Anonymous,,,172.12.219.122,0,11/29/2015 15:09,11/29/2015 15:22,1,9.021,47.772,50.581,12,1,17,3,4,6,A31RMQQT2VTBS,4.574,138.085,138.786,9,1,1,1,4,2,3.893,100.652,101.886,6,Edge,12.1024,Windows NT 10.0,1366x768,19.0.0,1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.135 Safari/537.36 Edge/12.10240",1,1,1,,,,,,3,3,14.236,72.127,73.198,8,1,Edge,12.1024,Windows NT 10.0,1366x768,19.0.0,1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.135 Safari/537.36 Edge/12.10240",1,,,,,,3,1,3,4.326,39.622,42.692,6,6,6,3,,55.376,272.28,273.554,9,1,1,,,1,,1,4,1,4.101,37.298,38.327,6,Edge,12.1024,Windows NT 10.0,1366x768,19.0.0,1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.135 Safari/537.36 Edge/12.10240",1,,,,,1,2,1,5,4,4,32.96470642,-80.20149994,-1
R_2PhdOYTFWG250iH,Default Response Set,Anonymous,,,50.0.50.109,0,11/29/2015 15:09,11/29/2015 15:23,1,5.025,40.265,43.511,7,1,19,7,5,11,AT6ISG4WO8HH1,19.416,101.746,104.002,4,1,1,1,1,2,92.448,112.496,114.711,2,Firefox,42,Macintosh,1440x900,19.0.0,1,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:42.0) Gecko/20100101 Firefox/42.0,1,1,,1,,,,,3,3,10.183,185.458,186.616,3,1,Firefox,42,Macintosh,1440x900,19.0.0,1,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:42.0) Gecko/20100101 Firefox/42.0,,1,,,,,3,4,1,8.268,26.269,28.799,3,6,6,3,,177.411,229.06,230.275,2,1,1,,1,,,1,5,1,72.409,92.994,100.78,2,Firefox,42,Macintosh,1440x900,19.0.0,1,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.9; rv:42.0) Gecko/20100101 Firefox/42.0,1,,1,,,2,2,1,5,4,4,37.91810608,-122.0735016,-1
R_1I6LexZNdooOzdL,Default Response Set,Anonymous,,,129.252.33.90,0,11/29/2015 15:11,11/29/2015 15:23,1,1.661,42.263,44.349,9,1,47,7,5,2,A36KDWI1CGJFFA,33.834,172.835,174.31,4,1,1,1,4,2,84.311,113.737,115.465,2,Firefox,42,Windows NT 10.0,1366x768,19.0.0,,Mozilla/5.0 (Windows NT 10.0; WOW64; rv:42.0) Gecko/20100101 Firefox/42.0,1,1,,,1,,,,3,2,16.519,88.981,90.507,3,1,Firefox,42,Windows NT 10.0,1366x768,19.0.0,,Mozilla/5.0 (Windows NT 10.0; WOW64; rv:42.0) Gecko/20100101 Firefox/42.0,,,,1,,,2,1,3,7.895,23.251,25.14,3,6,6,3,,123.166,156.339,157.344,4,1,1,,1,,,1,5,1,24.207,40.246,42.082,2,Firefox,42,Windows NT 10.0,1366x768,19.0.0,,Mozilla/5.0 (Windows NT 10.0; WOW64; rv:42.0) Gecko/20100101 Firefox/42.0,1,,1,,,2,2,1,5,4,4,33.99369812,-81.01989746,-1
R_2tFDYflJg8l5yyK,Default Response Set,Anonymous,,,120.29.121.133,0,11/29/2015 15:15,11/29/2015 15:23,1,0.484,17.579,17.994,10,1,12,5,4,6,A1FYS4T8BCR1AT,1.256,4.344,5.037,3,1,1,1,3,2,5.068,44.035,44.731,3,Chrome,46.0.2490.86,Windows NT 6.1,1920x1080,19.0.0,1,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.86 Safari/537.36",1,1,,,,,,1,3,2,73.125,87.813,88.547,3,1,Chrome,46.0.2490.86,Windows NT 6.1,1920x1080,19.0.0,1,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.86 Safari/537.36",,,1,,,,3,1,1,2.543,6.024,6.756,3,6,6,3,,7.457,293.295,305.224,3,1,1,,,1,,1,3,1,1.782,8.367,9.185,4,Chrome,46.0.2490.86,Windows NT 6.1,1920x1080,19.0.0,1,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.86 Safari/537.36",1,,,,,2,4,1,2,3,2,15.1499939,120.583313,-1
R_RySf2w30LzVVs77,Default Response Set,Anonymous,,,73.199.237.169,0,11/29/2015 15:11,11/29/2015 15:24,1,0.737,20.61,22.181,11,2,8,3,1,11,A90JBLDKW71DX,6.678,13.456,417.135,6,1,3,1,1,3,178.174,182.026,183.094,5,Chrome,46.0.2490.82,CrOS x86_64 7390.68.0,1536x864,19.0.0,1,"Mozilla/5.0 (X11; CrOS x86_64 7390.68.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.82 Safari/537.36",1,1,,,,1,,,2,2,1.134,17.826,27.343,8,1,Chrome,46.0.2490.82,CrOS x86_64 7390.68.0,1536x864,19.0.0,1,"Mozilla/5.0 (X11; CrOS x86_64 7390.68.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.82 Safari/537.36",,,,,1,,3,2,3,1.051,10.499,11.796,7,2,1,3,,0.168,101.402,102.526,6,1,1,,,1,,1,3,2,1.276,3.581,4.708,4,Chrome,46.0.2490.82,CrOS x86_64 7390.68.0,1536x864,19.0.0,1,"Mozilla/5.0 (X11; CrOS x86_64 7390.68.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.82 Safari/537.36",1,,,,,1,3,1,2,3,3,39.48989868,-74.47730255,-1
R_3JEP613cJ5Aw0Up,Default Response Set,Anonymous,,,104.235.179.68,0,11/29/2015 15:13,11/29/2015 15:24,1,3.424,53.145,56.156,52,2,42,5,5,2,A33YX15T1HYFMW,24.821,71.421,72.767,14,1,1,1,3,2,9.182,122.121,123.59,18,Chrome,46.0.2490.86,Windows NT 6.1,1366x768,19.0.0,1,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.86 Safari/537.36",1,1,1,,,,,,3,3,4.725,78.774,80.22,16,1,Chrome,46.0.2490.86,Windows NT 6.1,1366x768,19.0.0,1,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.86 Safari/537.36",1,,,,,,3,4,1,8.859,32.913,33.813,40,6,5,3,,59.458,175.631,177.254,48,1,1,1,,,,1,4,1,6.851,62.626,63.618,8,Chrome,46.0.2490.86,Windows NT 6.1,1366x768,19.0.0,1,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.86 Safari/537.36",1,1,,,,2,3,1,5,4,4,48.18530273,-121.6777954,-1
R_1gzuHsDhNfHPeh1,Default Response Set,Anonymous,,,104.207.136.30,0,11/29/2015 15:07,11/29/2015 15:25,1,23.796,68.609,74.339,9,2,44,5,5,3,A25D66AC4QUW2U,65.381,171.192,172.833,3,1,1,1,4,2,80.833,168.126,169.815,5,Chrome,46.0.2490.86,Windows NT 6.3,1366x768,19.0.0,1,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.86 Safari/537.36",1,1,,,,,1,,3,3,16.523,80.542,82.754,4,1,Chrome,46.0.2490.86,Windows NT 6.3,1366x768,19.0.0,1,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.86 Safari/537.36",,,,,,1,3,1,1,11.809,156.634,162.426,3,6,6,1,,13.982,233.562,252.085,9,1,1,,1,,,1,4,1,62.221,96.486,102.886,2,Chrome,46.0.2490.86,Windows NT 6.3,1366x768,19.0.0,1,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.86 Safari/537.36",1,,1,,,2,2,1,1,4,5,40.41690063,-74.25789642,-1
R_2BkXMxXJSCJeLgQ,Default Response Set,Anonymous,,,24.92.115.224,0,11/29/2015 15:07,11/29/2015 15:25,1,1.013,27.72,29.855,13,2,8,3,5,5,A3EQE3HO62FILQ,31.413,388.354,389.869,4,1,1,1,4,1,191.59,221.186,222.103,5,Chrome,46.0.2490.86,Windows NT 6.3,1600x900,19.0.0,1,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.86 Safari/537.36",1,1,1,,,,,,3,3,22.964,107.116,107.51,5,1,Chrome,46.0.2490.86,Windows NT 6.3,1600x900,19.0.0,1,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.86 Safari/537.36",1,,,,,,2,1,1,19.713,32.081,32.987,4,6,6,3,,149.501,162.128,166.603,4,1,1,1,,,,1,4,1,16.097,40.675,47.9,3,Chrome,46.0.2490.86,Windows NT 6.3,1600x900,19.0.0,1,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.86 Safari/537.36",1,1,,,,2,2,1,2,4,4,31.76339722,-106.4328003,-1
R_3gYO9yefyOhrfGg,Default Response Set,Anonymous,,,72.65.254.188,0,11/29/2015 15:08,11/29/2015 15:25,1,1.156,35.721,36.806,13,1,19,5,5,9,A28RX7L0QZ993M,13.365,264.671,265.733,13,1,1,1,4,2,4.451,175.69,176.942,16,Chrome,46.0.2490.86,Windows NT 6.1,1366x768,19.0.0,1,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.86 Safari/537.36",1,1,,,,,,1,3,3,2.775,144.118,147.582,17,1,Chrome,46.0.2490.86,Windows NT 6.1,1366x768,19.0.0,1,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.86 Safari/537.36",,,1,,,,3,1,1,14.348,34.827,35.869,7,6,6,3,,2.855,187.186,189.014,26,1,1,1,,,,1,4,1,1.669,78.045,80.035,12,Chrome,46.0.2490.86,Windows NT 6.1,1366x768,19.0.0,1,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.86 Safari/537.36",1,1,,,,2,3,1,5,4,3,40.54649353,-80.05249786,-1
R_1fdzjUHC8xWf3f5,Default Response Set,Anonymous,,,97.101.213.7,0,11/29/2015 15:06,11/29/2015 15:25,1,1.023,36.951,38.052,8,1,56,5,6,11,A39J3Y8YVC6AIZ,75.405,175.728,177.944,3,1,1,1,3,2,96.513,160.876,163.517,5,Firefox,42,Windows NT 6.1,1366x768,19.0.0,,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:42.0) Gecko/20100101 Firefox/42.0,1,1,,,,,1,,3,3,17.497,119.069,120.596,7,1,Firefox,42,Windows NT 6.1,1366x768,19.0.0,,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:42.0) Gecko/20100101 Firefox/42.0,,,,,,1,3,1,1,17.651,60.465,61.817,5,6,6,3,,5.838,373.774,375.021,26,1,1,,,1,,1,4,1,11.074,111.338,113.445,8,Firefox,42,Windows NT 6.1,1366x768,19.0.0,,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:42.0) Gecko/20100101 Firefox/42.0,1,,,,,2,2,1,3,4,3,28.32569885,-80.61219788,-1
R_1jBArE6iy5wMnaD,Default Response Set,Anonymous,,,173.57.8.9,0,11/29/2015 15:13,11/29/2015 15:25,1,2.639,55.726,56.9,17,2,30,3,6,11,A2TG7EEQ2XG2IK,1.794,125.93,127.263,19,1,2,1,3,2,1.864,78.169,79.177,30,MSIE,11,Windows NT 6.3,1093x614,19.0.0,1,Mozilla/5.0 (Windows NT 6.3; WOW64; Trident/7.0; .NET4.0E; .NET4.0C; .NET CLR 3.5.30729; .NET CLR 2.0.50727; .NET CLR 3.0.30729; GWX:QUALIFIED; rv:11.0) like Gecko,1,1,,,,1,,,3,4,2.793,82.456,92.492,19,1,MSIE,11,Windows NT 6.3,1093x614,19.0.0,1,Mozilla/5.0 (Windows NT 6.3; WOW64; Trident/7.0; .NET4.0E; .NET4.0C; .NET CLR 3.5.30729; .NET CLR 2.0.50727; .NET CLR 3.0.30729; GWX:QUALIFIED; rv:11.0) like Gecko,,,,,1,,3,1,1,6.994,45.171,46.373,18,6,6,3,,2.61,215.339,217.006,28,1,1,,,,1,1,5,1,2.321,68.275,69.587,23,MSIE,11,Windows NT 6.3,1093x614,19.0.0,1,Mozilla/5.0 (Windows NT 6.3; WOW64; Trident/7.0; .NET4.0E; .NET4.0C; .NET CLR 3.5.30729; .NET CLR 2.0.50727; .NET CLR 3.0.30729; GWX:QUALIFIED; rv:11.0) like Gecko,1,,,,1,2,2,1,3,5,4,32.8500061,-96.96130371,-1
R_3exZHzWkcVsCBjJ,Default Response Set,Anonymous,,,173.25.161.120,0,11/29/2015 15:16,11/29/2015 15:26,1,1.621,25.934,29.085,11,2,19,3,5,6,AMXL3Y2F7JNFE,8.833,174.22,175.296,12,1,2,1,3,2,4.056,85.729,87.063,13,Chrome,46.0.2490.86,Windows NT 6.3,1366x768,19.0.0,1,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.86 Safari/537.36",1,1,1,,,,,,3,3,5.433,59.894,62.44,9,1,Chrome,46.0.2490.86,Windows NT 6.3,1366x768,19.0.0,1,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.86 Safari/537.36",1,,,,,,3,1,1,2.402,18.525,20.678,8,6,6,3,,11.481,123.977,125.571,23,1,1,,,1,,1,4,1,3.429,30.843,32.535,8,Chrome,46.0.2490.86,Windows NT 6.3,1366x768,19.0.0,1,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.86 Safari/537.36",1,,,,,1,2,1,5,5,5,30.61619568,-86.92189789,-1
R_2SIAH5mHPqLwJjX,Default Response Set,Anonymous,,,50.153.10.154,0,11/29/2015 15:20,11/29/2015 15:26,1,0.153,20.593,43.41,5,2,19,3,5,9,A2RPX401MO0KTX,24.617,64.288,72.416,3,1,2,1,4,1,43.377,59.485,60.794,2,Chrome,46.0.2490.76,Android 4.4.2,360x640,-1,1,"Mozilla/5.0 (Linux; Android 4.4.2; SM-G386T1 Build/KOT49H) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.76 Mobile Safari/537.36",1,1,1,,,,,,3,3,15.116,39.471,40.379,5,1,Chrome,46.0.2490.76,Android 4.4.2,360x640,-1,1,"Mozilla/5.0 (Linux; Android 4.4.2; SM-G386T1 Build/KOT49H) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.76 Mobile Safari/537.36",1,,,,,,4,2,1,19.102,34.635,35.811,5,1,4,3,,13.235,28.948,29.695,2,1,1,1,,,,1,3,3,9.665,18.96,19.933,2,Chrome,46.0.2490.76,Android 4.4.2,360x640,-1,1,"Mozilla/5.0 (Linux; Android 4.4.2; SM-G386T1 Build/KOT49H) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.76 Mobile Safari/537.36",1,1,,,,3,3,1,2,4,3,27.32550049,-82.4733963,-1
R_10VrTKq9KCGx7dk,Default Response Set,Anonymous,,,68.98.97.112,0,11/29/2015 15:19,11/29/2015 15:26,1,2.817,35.777,38.838,7,1,48,5,3,11,A35ADXRHK3UPR7,8.319,28.399,30.622,3,1,1,1,3,1,42.018,56.539,58.669,2,MSIE,11,Windows NT 6.1,1600x900,19.0.0,1,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; .NET4.0C; .NET4.0E; GWX:QUALIFIED; rv:11.0) like Gecko,1,1,1,,,,,,3,3,19.452,90.397,91.652,3,1,MSIE,11,Windows NT 6.1,1600x900,19.0.0,1,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; .NET4.0C; .NET4.0E; GWX:QUALIFIED; rv:11.0) like Gecko,1,,,,,,3,4,1,6.386,17.851,19.772,3,6,6,3,,92.603,106.212,107.346,2,1,1,,1,,,1,2,1,34.912,55.025,56.963,2,MSIE,11,Windows NT 6.1,1600x900,19.0.0,1,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; .NET4.0C; .NET4.0E; GWX:QUALIFIED; rv:11.0) like Gecko,1,,1,,,2,2,1,1,4,3,32.22109985,-110.8237991,-1
R_2TGfdSMEfARMqbk,Default Response Set,Anonymous,,,24.175.170.135,0,11/29/2015 15:14,11/29/2015 15:26,1,3.73,19.791,21.44,9,2,14,5,6,11,A2HR7ZIX42FEPG,10.787,118.581,119.659,4,1,1,1,1,2,6.839,202.194,206.133,60,Chrome,46.0.2490.86,Windows NT 5.1,1024x768,19.0.0,1,"Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.86 Safari/537.36",1,1,,1,,,,,3,3,9.332,84.362,93.868,4,1,Chrome,46.0.2490.86,Windows NT 5.1,1024x768,19.0.0,1,"Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.86 Safari/537.36",,1,,,,,3,1,3,3.723,19.141,25.415,4,1,6,3,,6.706,163.681,167.13,20,1,1,1,,,,1,5,1,9.818,23.203,24.472,3,Chrome,46.0.2490.86,Windows NT 5.1,1024x768,19.0.0,1,"Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.86 Safari/537.36",1,1,,,,2,3,1,3,4,5,27.70199585,-97.3423996,-1
R_cAOeQRQUQf1FvAR,Default Response Set,Anonymous,,,68.11.210.108,0,11/29/2015 15:09,11/29/2015 15:26,1,2.638,37.237,39.755,9,2,24,5,6,11,ABKPRL0J5P06O,34.207,146.662,147.922,5,1,1,1,4,2,108.988,138.594,142.101,2,Chrome,46.0.2490.86,Windows NT 6.1,1680x1050,19.0.0,1,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.86 Safari/537.36",1,1,,,,1,,,3,3,12.047,98.808,105.937,3,1,Chrome,46.0.2490.86,Windows NT 6.1,1680x1050,19.0.0,1,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.86 Safari/537.36",,,,,1,,3,1,1,10.267,27.73,30.549,3,6,6,3,,273.467,379.963,381.613,4,1,1,,,1,,1,4,1,84.269,142.733,146.745,3,Chrome,46.0.2490.86,Windows NT 6.1,1680x1050,19.0.0,1,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.86 Safari/537.36",1,,,,,1,4,1,1,5,5,30.37930298,-90.9713974,-1
R_4ZN36oh5cda9ITn,Default Response Set,Anonymous,,,75.129.133.47,0,11/29/2015 15:08,11/29/2015 15:26,1,0.945,28.637,31.117,8,1,27,4,5,7,A2NHZ5AZS9SE8T,38.859,290.76,291.666,6,1,1,1,4,4,136.126,186.002,187.418,3,Chrome,46.0.2490.86,Windows NT 6.3,1920x1080,19.0.0,1,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.86 Safari/537.36",1,1,,,,,,1,3,3,14.111,186.404,187.397,6,1,Chrome,46.0.2490.86,Windows NT 6.3,1920x1080,19.0.0,1,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.86 Safari/537.36",,,1,,,,2,4,1,14.858,58.891,59.799,7,6,6,3,,146.318,196.796,197.923,2,1,1,,,,1,1,4,2,87.116,99.269,100.207,2,Chrome,46.0.2490.86,Windows NT 6.3,1920x1080,19.0.0,1,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.86 Safari/537.36",1,,,,1,2,2,1,3,4,3,43.38400269,-88.16369629,-1
